length_km,ideal,"tha[1.4 V, 200 ps]","dual_naive[1.4 V, 200 ps]","dual_aware[1.4 V, 200 ps]","tha[1.4 V, 1.6 ns]","dual_naive[1.4 V, 1.6 ns]","dual_aware[1.4 V, 1.6 ns]","tha[2.0 V, 1.6 ns]","dual_naive[2.0 V, 1.6 ns]","dual_aware[2.0 V, 1.6 ns]"
0.0,0.09922220987897759,0.08428756717917463,0.09604452230518859,0.09602933147368123,0.04939738428496318,0.07634819166579138,0.07622019090560062,0.020424876006126816,0.04850905916789136,0.048179799356580955
1.0,0.094667331367877,0.08001752676705619,0.09202047004472051,0.09200273001600663,0.045854835843708155,0.07539004278011083,0.07524272530641699,0.01782669431165352,0.05154273332656564,0.05116758289987207
2.0,0.09032404816258421,0.07595331667156932,0.08812002385150208,0.08810121149521444,0.04250996215599642,0.07409663160834673,0.07394154657863455,0.015421520626163615,0.05370863289787338,0.0533155769806327
3.0,0.08618240519349753,0.07208511586233231,0.08434762521617503,0.08432875410633946,0.039353197452702195,0.07253721275856602,0.0723822952903654,0.013199953582074346,0.05513907322217184,0.054747431075984766
4.0,0.08223291636954633,0.06840356985718163,0.08070587907789811,0.08068762137019367,0.03637543762115947,0.07077083301343193,0.07062134327570482,0.011153042512934848,0.055950408765661264,0.05557302913848475
5.0,0.07846654350783308,0.06489976966088114,0.07719588921129583,0.07717866806602391,0.03356801909166975,0.06884759001956768,0.06870683067815196,0.009272265640866884,0.056244380622793494,0.05588934341123837
6.0,0.07487467601503096,0.06156523145899595,0.07381754237001534,0.0738016016879141,0.030922698481145285,0.06680977235653907,0.06667963319695812,0.007549508966395361,0.05610949525476591,0.055781418584916975
7.0,0.07144911132171082,0.058391877067766135,0.07056974805148102,0.07055520478805764,0.02843163299360129,0.06469288336195828,0.06457425187003002,0.005977045853896183,0.055622378744705936,0.055323413843583163
8.0,0.06818203606633455,0.05537201513640396,0.06745063999215163,0.06743752313877083,0.026087361572803808,0.06252655418061119,0.06241962269701477,0.004547517300880401,0.05484907047069977,0.05457965171989944
9.0,0.06506600802188073,0.05249832309448887,0.06445774480001981,0.06444602419848051,0.02388278679862258,0.06033535331109333,0.060239846798841305,0.003253912874878402,0.05384623433023329,0.0536056389361141
10.0,0.062093938754900865,0.04976382983398336,0.06158812248259057,0.061577729920075895,0.021811157515462632,0.05813950083201065,0.0580548440370397,0.002089552297706055,0.05266227579860322,0.05244903657977201
11.0,0.05925907700400653,0.04716189911261945,0.05883848303451923,0.058829327504574286,0.019866052178370792,0.055955495789221904,0.05588093439686377,0.001048067653230171,0.051338360193443136,0.051150565930274006
12.0,0.05655499276256885,0.044686213663202315,0.05620528270963493,0.05619726128817104,0.018041362900178236,0.05379666512722235,0.05373135221731003,0.00012338619147181807,0.049909332339473395,0.04974484273810182
