operating_point,mu,max_distance_tha_km,rate_0km_tha,rate_0km_dual
no parasitic light,0.0,322.0,0.09922220987897759,0.09922220987897759
"1.4 V, 200 ps",0.004771364878891034,75.5,0.08428756717917463,0.09602933147368123
"1.4 V, 1.6 ns",0.03882399185758208,30.5,0.04939738428496318,0.07622019090560062
"2.0 V, 1.6 ns",0.0977451419198761,12.0,0.020424876006126816,0.048179799356580955
