topology,n_requests,sampler,calibration,n_solver_runs,n_instances,mean_raw_feasible_read_rate,fraction_runs_with_any_feasible,mean_raw_request_conflicts,mean_raw_edge_violations,mean_raw_memory_violations,mean_raw_violation_count,mean_raw_overload_units,mean_raw_gap_on_feasible_runs_pct,mean_repaired_gap_pct,mean_B,mean_D,mean_B_ratio,mean_D_ratio,mean_sample_time_s
chain10_c6,16,sa,conventional,450,90,0.12,0.12,0.8822222222222222,0.5222222222222223,1.8688888888888888,3.2733333333333334,4.666666666666667,89.3463235686665,78.5206204867023,4.22563419276846,4.22563419276846,1.0,1.0,0.08829373778645984
chain10_c6,16,sa,resource_aware,450,90,0.12222222222222222,0.12222222222222222,0.8755555555555555,0.5311111111111111,1.88,3.2866666666666666,4.706666666666667,89.88678509249966,78.73010353728043,4.081107446807804,4.180802821471619,0.9688919891696989,0.9871054128698258,0.08753032776973366
chain10_c6,16,sa,resource_aware_per,450,90,0.44,0.44,0.3844444444444444,0.24444444444444444,0.7888888888888889,1.4177777777777778,2.02,63.67214708800327,66.07751553025447,1.866085227626633,2.0588984790553146,0.4444678171227771,0.48686250078209614,0.11461435701471702
chain10_c6,16,sqa,conventional,450,90,0.41333333333333333,0.41333333333333333,0.7777777777777778,0.022222222222222223,0.013333333333333334,0.8133333333333334,0.042222222222222223,37.86305570558136,32.84957208844111,4.22563419276846,4.22563419276846,1.0,1.0,6.2145343474260555
chain10_c6,16,sqa,resource_aware,450,90,0.4222222222222222,0.4222222222222222,0.7644444444444445,0.024444444444444446,0.008888888888888889,0.7977777777777778,0.035555555555555556,36.70878678890481,32.23635925273128,4.081107446807804,4.180802821471619,0.9688919891696989,0.9871054128698258,6.2336518016637354
chain10_c6,16,sqa,resource_aware_per,450,90,0.5777777777777777,0.5777777777777777,0.5155555555555555,0.024444444444444446,0.015555555555555555,0.5555555555555556,0.04666666666666667,27.931472531774133,26.04291442951822,1.866085227626633,2.0588984790553146,0.4444678171227771,0.48686250078209614,6.289736323439671
chain10_c6,24,sa,conventional,450,90,0.08888888888888889,0.08888888888888889,0.8822222222222222,0.5622222222222222,2.0044444444444443,3.448888888888889,4.908888888888889,82.89718696337539,81.48177755677719,4.58765469446433,4.58765469446433,1.0,1.0,0.10460368677152372
chain10_c6,24,sa,resource_aware,450,90,0.08888888888888889,0.08888888888888889,0.8777777777777778,0.56,1.9977777777777779,3.4355555555555557,4.8933333333333335,82.89718696337539,81.36522486975537,4.556870730489218,4.58765469446433,0.9938690089415491,1.0,0.10467278306404801
chain10_c6,24,sa,resource_aware_per,450,90,0.4,0.4,0.43333333333333335,0.2577777777777778,1.0222222222222221,1.7133333333333334,2.488888888888889,63.497989177939054,67.0802245883962,2.603554057073129,2.7997353594069665,0.5734318685439963,0.612500502300094,0.12375574537785723
chain10_c6,24,sqa,conventional,450,90,0.4177777777777778,0.4177777777777778,0.7488888888888889,0.03111111111111111,0.04,0.82,0.08,34.73291261713775,32.586705912992905,4.58765469446433,4.58765469446433,1.0,1.0,6.342142842613911
chain10_c6,24,sqa,resource_aware,450,90,0.4177777777777778,0.4177777777777778,0.7577777777777778,0.03333333333333333,0.044444444444444446,0.8355555555555556,0.09111111111111111,35.104657286678965,32.9161809480843,4.556870730489218,4.58765469446433,0.9938690089415491,1.0,6.313778094255379
chain10_c6,24,sqa,resource_aware_per,450,90,0.52,0.52,0.6111111111111112,0.028888888888888888,0.03333333333333333,0.6733333333333333,0.08444444444444445,30.232762381266372,28.421254738871948,2.603554057073129,2.7997353594069665,0.5734318685439963,0.612500502300094,6.370988124063976
chain10_c6,8,sa,conventional,440,88,0.20909090909090908,0.20909090909090908,0.6909090909090909,0.32954545454545453,1.2613636363636365,2.2818181818181817,3.1795454545454547,84.1008233758755,71.84339802183788,3.6187851484669147,3.6187851484669147,1.0,1.0,0.07087281438500874
chain10_c6,8,sa,resource_aware,440,88,0.25681818181818183,0.25681818181818183,0.6545454545454545,0.3409090909090909,1.2340909090909091,2.2295454545454545,3.131818181818182,70.84581655899683,68.76489850033498,2.8105722006851988,3.0753273724551162,0.7609500062893197,0.8150972790092417,0.07385505446304293
chain10_c6,8,sa,resource_aware_per,440,88,0.41363636363636364,0.41363636363636364,0.3931818181818182,0.17727272727272728,0.7386363636363636,1.309090909090909,1.731818181818182,65.44710017058014,61.88437316125601,0.7788375105360531,0.9242448430098772,0.21067118789338976,0.24195393768544918,0.10727602243410232
chain10_c6,8,sqa,conventional,440,88,0.49318181818181817,0.49318181818181817,0.6590909090909091,0.00909090909090909,0.006818181818181818,0.675,0.015909090909090907,44.86897034014009,35.81856760650836,3.6187851484669147,3.6187851484669147,1.0,1.0,6.12696209875073
chain10_c6,8,sqa,resource_aware,440,88,0.5431818181818182,0.5431818181818182,0.5795454545454546,0.013636363636363636,0.011363636363636364,0.6045454545454545,0.02727272727272727,35.23985772742416,30.2728025589305,2.8105722006851988,3.0753273724551162,0.7609500062893197,0.8150972790092417,6.15870608863942
chain10_c6,8,sqa,resource_aware_per,440,88,0.7068181818181818,0.7068181818181818,0.3090909090909091,0.006818181818181818,0.006818181818181818,0.32272727272727275,0.022727272727272728,20.133267064465954,19.417648315196807,0.7788375105360531,0.9242448430098772,0.21067118789338976,0.24195393768544918,6.195337066370253
chain8_c4,16,sa,conventional,450,90,0.5377777777777778,0.5377777777777778,0.2222222222222222,0.4088888888888889,0.2733333333333333,0.9044444444444445,1.231111111111111,95.43772251808147,85.2688239998472,4.576008680799239,4.576008680799239,1.0,1.0,0.0774634323159181
