topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,B_min,B_max,B_n,C,D,D_min,D_max,D_n,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,req8,10,101,8,15,65,sa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,0.10818279199884273,100,1.0,0.0,0.0,0.0,0.0,0.0,4.772971132748658,4.7729711327486575,True,38.43130818325862,38.43130818325864
chain8_c4,req8,10,202,8,15,65,sa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,0.06229616701602936,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,2.4466722859081225,False,nan,68.43927864678082
chain8_c4,req8,10,303,8,15,65,sa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,0.06379866600036621,100,0.0,0.0,1.0,1.0,2.0,4.0,nan,0.7632770464960166,False,nan,90.15414760754211
chain8_c4,req8,10,404,8,15,65,sa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,0.06958700000541285,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,3.152961151485283,False,nan,59.32854231737969
chain8_c4,req8,10,505,8,15,65,sa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,0.06197029197937809,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,3.6638772603006577,False,nan,52.73800665877675
chain8_c4,req8,10,101,8,15,65,sqa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,6.048441417020513,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,7.752269849999999,False,nan,0.0
chain8_c4,req8,10,202,8,15,65,sqa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,5.961395708000055,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,5.346233147800658,False,nan,31.03654476371642
chain8_c4,req8,10,303,8,15,65,sqa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,6.032984749996103,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,5.655826387499999,False,nan,27.042962939428637
chain8_c4,req8,10,404,8,15,65,sqa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,5.996155333996285,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,6.699603722448,False,nan,13.578811727664506
chain8_c4,req8,10,505,8,15,65,sqa,conventional,1.0,2.16176216176,2.16176216176,2.16176216176,2.16176216176,1,0.0,2.16176216176,2.16176216176,2.16176216176,1,0.0,1.0,1.0,False,False,7.752269849999999,True,OPTIMAL,0.0056142910034395754,5.982034457992995,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,6.898507546496016,False,nan,11.013062238848452
