calibration,baseline,sampler,metric,difference_definition,lower_is_better,n_instances,n_seed_blocks,solver_seeds_per_instance,mean_baseline,mean_treatment,mean_paired_difference,median_paired_difference,bootstrap_95_ci_low,bootstrap_95_ci_high,treatment_better_fraction,baseline_better_fraction,tie_fraction
resource_aware,conventional,sa,raw_feasible_rate,resource_aware - conventional,False,1078,90,5,0.2397031539888683,0.2437847866419295,0.004081632653061225,0.0,0.0007414272474513438,0.007799442896935934,0.014842300556586271,0.006493506493506494,0.9786641929499073
resource_aware,conventional,sa,repaired_reference_gap_pct,resource_aware - conventional,True,1078,90,5,86.30332308729405,85.80016448371435,-0.5031586035796888,0.0,-0.8216406664217066,-0.22333742167247672,0.04730983302411874,0.038033395176252316,0.9146567717996289
resource_aware,conventional,sa,raw_mean_overload_units,resource_aware - conventional,True,1078,90,5,4.2640074211502785,4.26530612244898,0.0012987012987012974,0.0,-0.020408163265306124,0.02557924003707136,0.026901669758812616,0.02504638218923933,0.948051948051948
resource_aware,conventional,sqa,raw_feasible_rate,resource_aware - conventional,False,1078,90,5,0.38738404452690167,0.39443413729128013,0.00705009276437848,0.0,0.0012974976830398529,0.012987012987012988,0.03710575139146568,0.032467532467532464,0.9304267161410018
resource_aware,conventional,sqa,repaired_reference_gap_pct,resource_aware - conventional,True,1078,90,5,29.68531194261563,28.887304281289754,-0.7980076613258767,0.0,-1.189525419018444,-0.4483657870780275,0.07142857142857142,0.04638218923933209,0.8821892393320965
resource_aware,conventional,sqa,raw_mean_overload_units,resource_aware - conventional,True,1078,90,5,0.07866419294990723,0.07922077922077922,0.0005565862708719852,0.0,-0.0027803521779425394,0.004081632653061225,0.011131725417439703,0.013914656771799629,0.9749536178107606
resource_aware_per,conventional,sa,raw_feasible_rate,resource_aware_per - conventional,False,1078,90,5,0.2397031539888683,0.35974025974025975,0.12003710575139147,0.0,0.10444444444444444,0.1353703703703704,0.41280148423005564,0.09740259740259741,0.4897959183673469
resource_aware_per,conventional,sa,repaired_reference_gap_pct,resource_aware_per - conventional,True,1078,90,5,86.30332308729405,75.46791273066482,-10.83541035662922,-7.836377598573222,-11.671594412631158,-9.981030746358307,0.7170686456400742,0.24025974025974026,0.04267161410018553
resource_aware_per,conventional,sa,raw_mean_overload_units,resource_aware_per - conventional,True,1078,90,5,4.2640074211502785,2.7315398886827458,-1.5324675324675325,-0.8000000000000003,-1.6731162790697673,-1.3896200185356813,0.650278293135436,0.18923933209647495,0.16048237476808905
resource_aware_per,conventional,sqa,raw_feasible_rate,resource_aware_per - conventional,False,1078,90,5,0.38738404452690167,0.46307977736549166,0.07569573283858999,0.0,0.057460611677479144,0.09397590361445783,0.44990723562152135,0.2755102040816326,0.274582560296846
resource_aware_per,conventional,sqa,repaired_reference_gap_pct,resource_aware_per - conventional,True,1078,90,5,29.68531194261563,22.935279134390935,-6.750032808224695,-5.440044427124187,-7.507336618578708,-6.009574478951722,0.7439703153988868,0.2560296846011132,0.0
resource_aware_per,conventional,sqa,raw_mean_overload_units,resource_aware_per - conventional,True,1078,90,5,0.07866419294990723,0.09647495361781076,0.017810760667903526,0.0,-5.149457442602767e-19,0.03806870937790158,0.18181818181818182,0.19294990723562153,0.6252319109461967
resource_aware_per,resource_aware,sa,raw_feasible_rate,resource_aware_per - resource_aware,False,1078,90,5,0.2437847866419295,0.35974025974025975,0.11595547309833024,0.0,0.10046425255338905,0.13153988868274583,0.4044526901669759,0.10204081632653061,0.4935064935064935
resource_aware_per,resource_aware,sa,repaired_reference_gap_pct,resource_aware_per - resource_aware,True,1078,90,5,85.80016448371435,75.46791273066482,-10.332251753049531,-7.20896830765728,-11.195791309497054,-9.45510188593439,0.712430426716141,0.23933209647495363,0.04823747680890538
resource_aware_per,resource_aware,sa,raw_mean_overload_units,resource_aware_per - resource_aware,True,1078,90,5,4.26530612244898,2.7315398886827458,-1.5337662337662339,-0.8,-1.6796296296296296,-1.3855153203342618,0.6456400742115028,0.19109461966604824,0.16326530612244897
resource_aware_per,resource_aware,sqa,raw_feasible_rate,resource_aware_per - resource_aware,False,1078,90,5,0.39443413729128013,0.46307977736549166,0.0686456400742115,0.0,0.051529193697868396,0.0862708719851577,0.44155844155844154,0.27736549165120594,0.2810760667903525
resource_aware_per,resource_aware,sqa,repaired_reference_gap_pct,resource_aware_per - resource_aware,True,1078,90,5,28.887304281289754,22.935279134390935,-5.952025146898818,-5.018783065307044,-6.580630355620683,-5.345545113040211,0.7337662337662337,0.2597402597402597,0.006493506493506494
resource_aware_per,resource_aware,sqa,raw_mean_overload_units,resource_aware_per - resource_aware,True,1078,90,5,0.07922077922077922,0.09647495361781076,0.017254174397031537,0.0,0.0003707136237256709,0.036211699164345405,0.18274582560296845,0.19202226345083487,0.6252319109461967
