n_requests,family,n_instances,n_instances_with_pairs,n_violating_pairs,mean_instance_delta1_fraction,pair_weighted_delta1_fraction,bound_set_by_delta1_fraction,p0_delta1_pin_fraction,coefficient_tightened_fraction,mean_coefficient_ratio
8,edge,360,354,22377,0.6776362012450543,0.7958171336640301,0.940677966101695,0.7527777777777778,0.24166666666666667,0.8885864767362757
8,memory,360,354,30536,0.4799770934477314,0.5027181032224259,0.9350282485875706,0.8277777777777777,0.16666666666666666,0.914122804865091
16,edge,360,360,52469,0.883202917886532,0.936019363814824,0.9972222222222222,0.9305555555555556,0.06944444444444445,0.9857423376282358
16,memory,360,360,71415,0.7803191907446991,0.7858713155499545,1.0,0.9805555555555555,0.019444444444444445,0.9957066889531636
24,edge,360,360,80687,0.9538644836162877,0.9770842886710375,1.0,0.975,0.025,0.9965483649746267
24,memory,360,360,109869,0.9037464667335696,0.9006999244554879,1.0,1.0,0.0,1.0
